,glottolog_index,glottocode,language_name,iso_code,language_or_dialect,macroarea,latitude,longitude,dictionary_exists,language_family,bible_exists,cc_gb,archival_gb,datasets_n,wiki_articles_n,opus_gb,lowercase_name,xeus_gb,wikitongues_gb,models_n,models_mean_downloads,models_earliest_date,wiki_active_users,institutional_status,endangerment_status,primary_country,admin_1_code,country_iso_code,other_country_iso_codes,contested_area,n_speakers,geometry,closest_university,second_closest_university,distance_to_closest_university_km,distance_to_second_closest_university_km,admin_1_hdi,admin_1_gdp,cybersecurity_law_exists,households_with_phones_pct,households_with_home_internet_pct,individuals_using_internet_pct,avg_download_speed_kbps,avg_upload_speed_kbps,avg_latency_ms,pct_stem_grads,literacy_rate,admin_1_education_level,rnd_gdp_pct,AI_resource_readiness,infrastructural_readiness,socioeconomic_readiness,Overall_Readiness_Score,grouped_full_index,grouped_AI_resource_index,grouped_socioeconomic_index,grouped_infrastructural_index
1248,3298,book1241,Bookan,bnb,language,Papunesia,5.32519,116.474,1,Austronesian [aust1307],0,0.0,0.0,0,0,0,bookan,0.0,0.0,0,0.0,0,0,0,Severely endangered,Malaysia,MYSr112,MYS,MYS,0,9999,POINT (116.474 5.32519),Universiti Malaysia Sabah,Politeknik Brunei,0.0008000727664,0.001597287582,0.702,14180.31348,1,98.3696,96.417,97.3986404,137059.0,74161.0,15.0,40.7733,96.0,0.567,0.9508799911,1.0000000000000004e-06,0.6717844885499202,0.0074357183209904,0.0011599694107607,9,9,8,2
1249,3296,saba1267,Sabah Bisaya,bsy,language,Papunesia,5.30433,115.512,1,Austronesian [aust1307],0,0.0,0.0,3,0,0,sabah bisaya,0.0,0.0,1,0.0,0,0,0,Definitely endangered,Malaysia,MYSr112,MYS,MYS,0,9999,POINT (115.512 5.30433),Universiti Teknologi Brunei,Universiti Brunei Darussalam,0.0006942044842,0.0007014005654,0.702,14180.31348,1,98.3696,96.417,97.3986404,137059.0,74161.0,15.0,40.7733,96.0,0.567,0.9508799911,1.8676876681688049e-06,0.6717844885499202,0.0125239566148232,0.0016996291153426,9,9,7,2
1250,4287,kate1253,Kâte,kmg,language,Papunesia,-6.4795,147.757,1,Nuclear Trans New Guinea [nucl1709],0,0.0,0.001292010769,13,0,0,kâte,0.0,0.0,5,0.0,0,0,1,Endangered/unsafe,Papua New Guinea,PNGr112,PNG,PNG,0,20000,POINT (147.757 -6.4795),Papua New Guinea University of Technology,Divine Word University,0.0007874897088,0.002330921541,0.595,2750.807373,1,48.3482,27.9065,26.99104252,40502.0,12365.0,119.0,19.41869926452637,64.0,0.521,0.03158000112,6.900061880085328e-06,0.2136122260278974,0.0101981126264322,0.0022328897047422,9,9,8,8
1251,865,makc1235,Mak (China),mkg,language,Eurasia,25.5946,107.726,1,Tai-Kadai [taik1256],0,0.0,0.0,3,0,0,mak (china),0.0,0.0,1,0.0,0,0,0,Definitely endangered,China,CHNr124,CHN,CHN,0,5000,POINT (107.726 25.5946),Qiannan Normal College for Nationalities,Kaili University,0.0007285357503829,0.000949360734002,0.69,10165.6875,1,81.4894,80.9409,75.6113160262086,286568.0,38119.0,28.0,0.0,97.0,0.628,2.4326000213623,1.8676876681688049e-06,0.6407082253873555,0.0118813535183929,0.0016438886333925,9,9,7,3
1252,5787,koho1244,Koho,kpm,language,Eurasia,11.6444,108.057,1,Austroasiatic [aust1305],1,0.0,0.0,3,0,0,koho,2.060226758,0.0,1,0.0,0,0,0,Potentially vulnerable,Vietnam,VNMr104,VNM,VNM,0,200000,POINT (108.057 11.6444),Dalat University,Eastern University of Technology,0.0004961119917,0.001140272747,0.662,4188.97168,1,83.82,87.7,78.58999918,150655.0,122199.0,11.0,22.67548,96.0,0.581,0.425330013,1.8676876681688049e-06,0.5855487276216851,0.0106796910610064,0.0017016487704539,9,9,8,3
1253,439,baha1259,Baharna Arabic,abv,language,Eurasia,26.223615,50.580811,1,Afro-Asiatic [afro1255],0,0.0,0.0,0,0,0,baharna arabic,0.0,0.0,0,0.0,0,0,0,Potentially vulnerable,Bahrain,BHRt,BHR,BHR,0,999999,POINT (50.580811 26.223615),Arabian Gulf University,Ahlia University,1.23e-05,1.75e-05,0.875,44182.03906,0,100.0,100.0,100.0,95202.0,64712.0,8.0,16.14592,98.0,0.822,0.1011599973,1.0000000000000004e-06,0.6387032028997289,0.0078314016383465,0.0011488860638443,9,9,8,3
1254,860,wudi1238,Wuding-Luquan Yi,ywq,language,Eurasia,25.48,102.48,1,Sino-Tibetan [sino1245],0,0.0,0.0,3,0,0,wuding-luquan yi,0.0,0.0,1,0.0,0,0,0,Definitely endangered,China,CHNr125,CHN,CHN,0,250000,POINT (102.48 25.48),Yunnan College of Business Management,Yunnan Normal University,0.0004299536771804,0.0004770316238668,0.697,6537.248046875,1,81.4894,80.9409,75.6113160262086,230841.0,27389.0,92.0,0.0,97.0,0.63,2.4326000213623,1.8676876681688049e-06,0.6145066525502202,0.0121722247269296,0.001634290176609,9,9,7,3
1255,721,west2630,Western Abenaki,abe,language,North America,46.1381,-72.6511,1,Algic [algi1248],0,0.0,0.0,0,0,0,western abenaki,0.0,0.0,0,0.0,0,0,0,Critically endangered,Canada,CANr105,CAN,CAN,0,20,POINT (-72.6511 46.1381),Université du Québec à Trois-Rivières,Université de Sherbrooke,0.0002224353171,0.001048110558,0.923,37543.98438,1,94.0925,95.2996,94.0,264767.0,98047.0,10.0,22.37562,100.0,0.888,1.55182004,1.0000000000000004e-06,0.7376453715624234,0.0069091177110788,0.00116775653797,9,9,8,1
1256,3820,penr1237,Māngarongaro,pnh,language,Papunesia,-9.082238,-157.922908,1,Austronesian [aust1307],0,0.0,0.0,0,0,0,māngarongaro,0.0,0.0,0,0.0,0,0,0,Severely endangered,Cook Islands,,NZL,NZL,0,200,POINT (-157.922908 -9.082238),Université de la Polynésie Française,Le Iunivesite Aoao o Samoa,0.01188600369,0.01460449353,0.921,34762.35156,0,95.7911,96.2567,95.7298696,141772.0,20331.0,30.0,23.01431083679199,100.0,0.917,1.4547,1.0000000000000004e-06,0.6639620587472088,0.0075341034456155,0.0011489180297839,9,9,8,2
1257,3238,trin1273,Tring,tgq,language,Papunesia,1.335,110.036,1,Austronesian [aust1307],0,0.0,0.0,0,0,0,tring,0.0,0.0,0,0.0,0,0,0,Definitely endangered,Malaysia,MYSr113,MYS,MYS,0,550,POINT (110.036 1.335),Universiti Malaysia Sarawak,Universitas Panca Bhakti,0.0003629477271,0.001527022072,0.737,14180.31348,1,98.3696,96.417,97.3986404,228938.0,99043.0,8.0,40.7733,96.0,0.614,0.9508799911,1.0000000000000004e-06,0.7417566239563743,0.0069903765685273,0.0011744906702808,9,9,8,1
