Glottocode,Name,Top-level family,ISO-639-3,Macro-area,Child dialects,Latitude,Longitude
aari1239,Aari,South Omotic,aiw,Africa,0,5.95,36.57
aari1240,Aariya,Bookkeeping,aay,Eurasia,0,,
aasa1238,Aasax,Afro-Asiatic,aas,Africa,0,-4.01,36.86
abad1241,Abadi,Austronesian,kbt,Papunesia,0,-9.03,146.99
abag1245,Abaga,Nuclear Trans New Guinea,abg,Papunesia,0,-6.12,145.66
abai1240,Abai Sungai,Austronesian,abf,Papunesia,0,5.55,118.31
abai1241,Abai Tubu-Abai Sembuak,Austronesian,,Papunesia,0,3.52,116.16
aban1242,Abanyom,Atlantic-Congo,abm,Africa,0,6.31,8.63
abar1238,Mungbam,Atlantic-Congo,mij,Africa,6,6.58,10.23
abau1245,Abau,Sepik,aau,Papunesia,0,-3.97,141.32
abaz1241,Abaza,Abkhaz-Adyge,abq,Eurasia,3,44.25,42.00
abee1242,Abé,Atlantic-Congo,aba,Africa,4,5.60,-4.38
aben1249,Abenlen Ayta,Austronesian,abp,Papunesia,0,15.41,120.20
abid1235,Abidji,Atlantic-Congo,abi,Africa,2,5.66,-4.58
abin1243,Abinomn,,bsa,Papunesia,0,-2.92,138.89
abip1241,Abipon,Guaicuruan,axb,South America,0,-29.00,-61.00
abis1238,Aewa,,ash,South America,0,-1.28,-75.08
abkh1244,Abkhaz,Abkhaz-Adyge,abk,Eurasia,3,43.06,41.16
abom1238,Abom,Anim,aob,Papunesia,0,-8.42,142.84
abon1238,Abon,Atlantic-Congo,abo,Africa,0,6.91,10.88
abro1238,Abron,Atlantic-Congo,abr,Africa,0,7.72,-2.50
abua1244,Abua,Atlantic-Congo,abn,Africa,4,4.83,6.61
abua1245,Abu' Arapesh,Nuclear Torricelli,aah,Papunesia,0,-3.46,142.92
abui1241,Abui,Timor-Alor-Pantar,abz,Papunesia,4,-8.31,124.59
abun1252,Abun,,kgr,Papunesia,3,-0.57,132.42
abur1243,Abure,Atlantic-Congo,abu,Africa,0,5.22,-3.64
abur1244,Abureni,Atlantic-Congo,mgj,Africa,0,4.62,6.51
abuu1241,Abu,Ramu,ado,Papunesia,3,-4.24,144.47
acat1239,Acatepec Me'phaa,Otomanguean,tpx,North America,3,17.10,-99.06
acha1249,Longchuan Achang,Sino-Tibetan,acn,Eurasia,3,24.35,97.74
acha1250,Achagua,Arawakan,aca,South America,0,4.39,-72.20
ache1244,Ache,Sino-Tibetan,yif,Eurasia,0,24.15,102.45
ache1245,Acheron,Narrow Talodi,acz,Africa,2,10.88,30.32
ache1246,Aché,Tupian,guq,South America,0,-25.59,-56.47
achi1256,Achi,Mayan,acr,North America,0,15.07,-90.35
achi1257,Acehnese,Austronesian,ace,Papunesia,7,3.91,96.60
achi1258,"Achi', Cubulco",Bookkeeping,acc,North America,0,,
achu1247,Achumawi,Palaihnihan,acv,North America,0,41.10,-121.19
achu1248,Achuar-Shiwiar,Chicham,acu,South America,2,-2.83,-77.26
acol1236,Acoli,Nilotic,ach,Africa,3,3.58,32.51
acro1239,Acroá,Nuclear-Macro-Je,acs,South America,0,-12.59,-40.21
adab1235,Adabe,Bookkeeping,adb,Papunesia,0,-8.23,125.58
adai1235,Adai,,xad,North America,0,31.63,-92.01
adam1238,Adamorobe Sign Language,Sign Language,ads,Africa,0,5.83,-0.15
adam1253,Adamawa Fulfulde,Atlantic-Congo,fub,Africa,6,8.14,13.08
adan1247,Adangme,Atlantic-Congo,ada,Africa,6,5.94,0.13
adan1248,Adangbe,Atlantic-Congo,adq,Africa,0,6.51,0.73
adan1251,Adang,Timor-Alor-Pantar,adn,Papunesia,1,-8.19,124.45
adap1234,Adap,Bookkeeping,adp,Eurasia,0,27.14,90.34
adas1235,Adasen,Austronesian,tiu,Papunesia,2,17.82,120.91
adel1244,Adele,Atlantic-Congo,ade,Africa,2,8.17,0.62
adha1238,Adhari,Indo-European,,Eurasia,0,40.05,48.06
adho1243,Adhola,Nilotic,adh,Africa,0,0.73,34.03
adio1239,Adioukrou,Atlantic-Congo,adj,Africa,0,5.38,-4.53
adiv1239,Kotia-Adivasi Oriya-Desiya,Indo-European,ort,Eurasia,0,18.10,82.85
adiw1235,Adiwasi Garasia,Indo-European,gas,Eurasia,0,24.07,73.14
adny1235,Adnyamathanha,Pama-Nyungan,adt,Australia,0,-30.15,138.67
adon1237,Adonara,Austronesian,adr,Papunesia,10,-8.32,123.16
adug1238,Aduge,Bookkeeping,adu,Africa,0,7.65,6.13
adur1234,Adurgari,Speech Register,,Eurasia,0,33.79,69.32
adyg1241,West Circassian,Abkhaz-Adyge,ady,Eurasia,6,44.00,39.33
adze1240,Adzera,Austronesian,adz,Papunesia,0,-6.39,146.29
adze1241,Adzera (Retired),Bookkeeping,azr,,0,,
aeka1244,Aeka,Nuclear Trans New Guinea,aez,Papunesia,0,-8.86,147.99
aeky1238,Aekyom,Kamula-Elevala,awi,Papunesia,3,-5.88,141.53
aerr1238,Aer,Indo-European,aeq,Eurasia,2,25.25,69.03
afad1236,Afade,Afro-Asiatic,aal,Africa,0,12.06,14.63
afar1241,Afar,Afro-Asiatic,aar,Africa,4,12.23,41.81
afgh1239,Afghan Sign Language,Sign Language,afg,Eurasia,0,34.43,70.45
afgh1240,Afghanistan Gorbat,Mixed Language,,Eurasia,0,,
afit1238,Afitti,Nyimang,aft,Africa,0,12.45,30.76
afri1274,Afrikaans,Indo-European,afr,Africa,3,-22.00,30.00
afri1275,Afrihili,Artificial Language,afh,Africa,0,,
afro1254,Afro-Seminole Creole,Indo-European,afs,North America,0,31.78,-99.29
afud1235,Afudu,Atlantic-Congo,,Africa,0,9.83,11.30
agar1251,Agariya,Unattested,agi,Eurasia,0,24.50,82.30
agar1252,Agarabi,Nuclear Trans New Guinea,agd,Papunesia,0,-6.21,145.92
agat1236,Agatu,Atlantic-Congo,agc,Africa,0,7.98,7.72
agav1236,Agavotaguerra,Unattested,avo,South America,0,-13.30,-53.44
agbi1234,Agbirigba,Speech Register,,Africa,0,,
aghe1239,Aghem,Atlantic-Congo,agq,Africa,0,6.39,10.08
aghu1253,Aghul,Nakh-Daghestanian,agx,Eurasia,6,41.92,47.58
aghu1254,Aghu Tharnggalu,Pama-Nyungan,ggr,Australia,0,-13.73,142.43
aghu1255,Aghu,Nuclear Trans New Guinea,ahh,Papunesia,0,-6.35,140.04
aghu1256,Aghu Tharnggalu (Retired),Bookkeeping,gtu,Australia,0,-15.00,144.00
aghw1237,Aghwan,Nakh-Daghestanian,xag,Eurasia,0,40.37,47.13
agii1245,Agi,Nuclear Torricelli,aif,Papunesia,0,-3.49,142.39
agob1244,Agob-Ende-Kawam,Pahoturi,kit,Papunesia,3,-9.09,142.53
agoi1246,Robambami,Atlantic-Congo,ibm,Africa,2,5.88,8.22
agta1234,Agta-Pahanan,Austronesian,apf,Papunesia,0,17.05,122.28
agua1251,Aguano,Unattested,aga,South America,0,-5.25,-75.83
agua1252,Aguacateco,Mayan,agu,North America,0,15.33,-91.32
agua1253,Aguaruna,Chicham,agr,South America,0,-5.30,-77.92
agun1238,Aguna,Atlantic-Congo,aug,Africa,0,7.49,1.74
agus1235,Agusan Manobo,Austronesian,msm,Papunesia,3,8.63,125.74
agut1237,Agutaynen,Austronesian,agn,Papunesia,0,10.53,119.66
agwa1247,Agwagwune,Atlantic-Congo,yay,Africa,7,5.81,8.03
ahan1243,Ahanta,Atlantic-Congo,aha,Africa,0,4.85,-1.95
ahan1244,Àhàn,Atlantic-Congo,ahn,Africa,0,7.44,6.01
ahea1240,Ahe,Bookkeeping,ahe,,0,,
aher1237,Aheri Gondi,Dravidian,esg,Eurasia,3,19.42,80.01
aheu1239,Thavung,Austroasiatic,thm,Eurasia,0,17.77,104.23
ahin1234,Ahin-Kayapa Kalanguya,Austronesian,kak,Papunesia,2,16.32,120.90
ahir1243,Ahirani,Bookkeeping,ahr,Eurasia,0,21.55,73.69
ahom1240,Ahom,Tai-Kadai,aho,Eurasia,0,27.28,88.46
ahte1237,Ahtena,Athabaskan-Eyak-Tlingit,aht,North America,5,61.71,-144.89
ahwa1235,Ndunic,Atlantic-Congo,nfd,Africa,0,9.18,8.56
aich1238,Ai-Cham,Tai-Kadai,aih,Eurasia,2,25.49,107.84
aigh1235,Aighon,Austronesian,aix,Papunesia,3,-5.99,150.27
aika1237,Aikanã,,tba,South America,1,-12.67,-60.54
aikl1237,Aiklep,Austronesian,mwg,Papunesia,0,-6.24,149.57
aiku1240,Aiku,Bookkeeping,mzf,,0,,
aima1241,Aimaq,Indo-European,aiq,Eurasia,10,35.28,59.18
aime1238,Aimele,Bosavi,ail,Papunesia,0,-6.69,142.66
aimo1244,Aimol,Sino-Tibetan,aim,Eurasia,2,24.64,94.36
ainb1238,Ainbai,Border,aic,Papunesia,0,-3.09,141.15
ainu1240,Hokkaido Ainu,Ainu,ain,Eurasia,2,43.63,142.46
ainu1251,Ainu (China),Turkic,aib,Eurasia,2,39.27,76.42
aiom1240,Aiome,Ramu,aki,Papunesia,0,-5.13,144.76
airo1242,Airoran,Greater Kwerba,air,Papunesia,0,-1.85,138.16
aito1238,Aiton,Tai-Kadai,aio,Eurasia,0,26.51,92.32
ajab1235,Aja (Benin),Atlantic-Congo,ajg,Africa,4,7.07,1.65
ajas1235,Aja (South Sudan),Kresh-Aja,aja,Africa,0,8.58,25.61
ajaw1236,Ajawa,Afro-Asiatic,ajw,Africa,0,10.21,9.89
ajie1238,Ajië,Austronesian,aji,Papunesia,0,-21.30,165.47
ajyi1238,Ajyíninka Apurucayali,Arawakan,cpc,South America,0,-9.82,-74.62
akaa1242,Aka,Eastern Jebel,soh,Africa,0,11.21,33.65
akab1248,Akabo,Great Andamanese,akm,Eurasia,0,12.36,92.80
akab1249,Akabea,Great Andamanese,abj,Eurasia,0,12.38,92.78
akac1240,Akacari,Great Andamanese,aci,Eurasia,0,13.49,92.95
akaj1239,Akajeru,Great Andamanese,akj,Eurasia,1,13.15,92.95
akak1251,Akakora,Great Andamanese,ack,Eurasia,0,12.09,92.75
akak1252,Akakede,Great Andamanese,akx,Eurasia,0,12.85,92.82
akak1253,Akakol,Great Andamanese,aky,Eurasia,0,12.73,92.79
akan1250,Akan,Atlantic-Congo,aka,Africa,10,6.35,-1.33
akar1243,Akarbale,Great Andamanese,acl,Eurasia,0,12.67,92.83
akas1242,Akaselem,Atlantic-Congo,aks,Africa,0,8.89,1.37
akaw1239,Akawaio-Ingariko,Cariban,ake,South America,2,6.16,-60.86
akeb1238,Akebu,Atlantic-Congo,keu,Africa,0,7.78,0.78
akee1238,Akye,Atlantic-Congo,aik,Africa,0,8.60,8.76
akei1237,Akei,Austronesian,tsr,Papunesia,0,-15.64,166.77
akeu1235,Akeu,Sino-Tibetan,aeu,Eurasia,0,22.20,101.08
akha1245,Akha,Sino-Tibetan,ahk,Eurasia,2,21.23,100.96
akhv1239,Northern Akhvakh,Nakh-Daghestanian,akv,Eurasia,2,42.40,46.30
akka1237,Akkala Saami,Uralic,sia,Eurasia,0,67.86,32.40
akka1240,Akkadian,Afro-Asiatic,akk,Eurasia,11,33.10,44.10
akkk1240,Ak,Sepik,akq,Papunesia,0,-3.57,141.78
akla1240,Aklanon,Austronesian,akl,Papunesia,4,11.55,122.35
akol1237,Akolet,Austronesian,akt,Papunesia,0,-6.23,150.18
akoo1248,Akoose,Atlantic-Congo,bss,Africa,7,4.92,9.66
akoy1238,Akoye,Angan,miw,Papunesia,0,-7.66,145.67
akpa1238,Akpa,Atlantic-Congo,akf,Africa,0,7.33,8.02
akpe1248,Akpes,Atlantic-Congo,ibe,Africa,9,7.50,5.96
akpo1243,Akpondu,Atlantic-Congo,,Africa,0,9.24,8.55
akru1241,Chini,Ramu,afi,Papunesia,0,-4.89,144.82
akuk1235,Akuku,Atlantic-Congo,ayk,Africa,0,7.40,6.34
akum1238,Akum,Atlantic-Congo,aku,Africa,0,6.86,9.96
akun1241,Akuntsu,Tupian,aqz,South America,0,-12.83,-60.97
akur1238,Akurio,Cariban,ako,South America,0,3.20,-55.63
akwa1248,Akwa,Atlantic-Congo,akw,Africa,0,-0.40,15.46
akya1234,Akyaung Ari Naga,Bookkeeping,nqy,Eurasia,0,,
alab1237,Alabama,Muskogean,akz,North America,0,30.77,-94.63
alab1246,Alabat Island Agta,Austronesian,dul,Papunesia,0,14.12,122.01
alab1254,Alaba-K'abeena,Afro-Asiatic,alw,Africa,0,7.39,38.17
alac1239,Alacalufe-Austral,Kawesqar,,South America,0,-54.79,-70.14
alac1240,Alacalufe-Central,Kawesqar,,South America,0,-53.44,-71.04
alac1244,Alacatlatzala Mixtec,Otomanguean,mim,North America,5,17.25,-98.58
alag1242,Alago,Atlantic-Congo,ala,Africa,4,8.35,8.52
alag1248,Alagwa,Afro-Asiatic,wbj,Africa,0,-4.64,35.72
alag1249,Alaguilac,Bookkeeping,,North America,0,,
alak1253,Alak,Austroasiatic,alk,Eurasia,0,15.56,106.60
alam1246,Alamblak,Sepik,amp,Papunesia,2,-4.66,143.32
alan1249,Alangan,Austronesian,alj,Papunesia,0,13.10,121.02
alap1235,Alapmunte,Unattested,apv,South America,0,-12.33,-60.00
alaw1244,Alawa,Mangarrayi-Maran,alh,Australia,0,-15.55,134.28
alba1269,Inland-Buhi-Daraga Bikol,Austronesian,bhk,Papunesia,5,13.20,123.49
alba1271,Albanian Sign Language,Sign Language,sqk,Eurasia,0,41.33,19.82
alba1273,Albarradas Sign Language,Sign Language,lsc,North America,0,17.06,-96.30
alco1235,Alcozauca Mixtec,Otomanguean,xta,North America,2,17.37,-98.40
aleg1238,Alege,Atlantic-Congo,alf,Africa,0,6.59,9.00
alek1238,Alekano,Nuclear Trans New Guinea,gah,Papunesia,0,-6.04,145.39
aleu1260,Aleut,Eskimo-Aleut,ale,North America,2,52.12,-174.29
alge1235,Algerian Sign Language,Sign Language,asp,Africa,0,36.48,3.55
alge1239,Algerian Arabic,Afro-Asiatic,arq,Africa,3,35.42,3.23
alge1240,Algerian Saharan Arabic,Afro-Asiatic,aao,Africa,0,20.89,4.81
algo1255,Algonquin,Algic,alq,North America,2,47.39,-77.53
alii1240,Ali,Atlantic-Congo,aiy,Africa,0,4.60,18.04
alip1234,Alipur Sign Language,Sign Language,,Eurasia,0,16.84,77.11
alla1247,Allar,Dravidian,all,Eurasia,0,11.08,76.66
alla1248,Alladian,Atlantic-Congo,ald,Africa,0,5.22,-4.43
alle1238,Allentiac,Huarpean,,South America,0,-33.48,-68.10
alng1239,Alngith,Pama-Nyungan,aid,Australia,0,-12.53,141.94
aloa1235,Aloápam Zapotec,Otomanguean,zaq,North America,0,17.41,-96.74
alop1235,Alo Phola,Sino-Tibetan,ypo,Eurasia,0,23.59,101.93
alor1247,Alorese,Austronesian,aol,Papunesia,0,-8.20,124.26
alsa1242,Al-Sayyid Bedouin Sign Language,Sign Language,syy,Eurasia,0,31.28,34.92
alse1251,Alsea-Yaquina,,aes,North America,2,44.41,-123.94
alug1235,Alugu,Sino-Tibetan,aub,Eurasia,0,23.00,103.00
aluk1238,Alu Kurumba,Dravidian,xua,Eurasia,0,11.35,76.80
alum1246,Arum,Atlantic-Congo,aab,Africa,2,9.02,8.56
alun1238,Alune,Austronesian,alp,Papunesia,5,-3.11,128.39
aluo1235,Aluo,Sino-Tibetan,yna,Eurasia,0,26.00,102.00
alur1250,Alur,Nilotic,alz,Africa,4,2.36,31.00
alut1245,Alutor,Chukotko-Kamchatkan,alr,Eurasia,3,60.38,165.65
alvi1241,Alviri-Vidari,Indo-European,avd,Eurasia,2,35.01,50.38
alya1239,Alyawarr,Pama-Nyungan,aly,Australia,0,-21.04,136.84
amah1245,Amahai,Austronesian,amq,Papunesia,3,-3.32,128.94
amah1246,Amahuaca,Pano-Tacanan,amc,South America,2,-10.20,-72.32
amai1246,Amaimon,Nuclear Trans New Guinea,ali,Papunesia,0,-5.19,145.37
amal1242,Amal,Sepik,aad,Papunesia,0,-4.05,142.00
amam1246,Amam,Kunimaipan,,Papunesia,0,-7.90,146.92
amam1247,Amami O Shima Sign Language,Sign Language,jks,Eurasia,0,28.27,129.36
aman1265,Amanab,Border,amn,Papunesia,0,-3.52,141.18
aman1266,Amanayé,Tupian,ama,South America,0,-3.80,-48.66
amap1240,Ama (Papua New Guinea),Left May,amm,Papunesia,0,-4.20,141.66
amap1241,Amapá Creole,Bookkeeping,amd,,0,,
amar1271,Amurdak,Iwaidjan Proper,amg,Australia,0,-11.99,132.88
amar1272,Amara,Austronesian,aie,Papunesia,0,-5.56,148.68
amar1273,Amarasi,Austronesian,aaz,Papunesia,5,-10.22,123.96
amar1274,Amarakaeri,Harakmbut,amr,South America,2,-12.49,-70.55
amas1236,Ama (Sudan),Nyimang,nyi,Africa,0,12.10,29.43
amat1238,Amatlán Zapotec,Otomanguean,zpo,North America,0,16.27,-96.40
amba1263,Amba (Uganda),Atlantic-Congo,rwm,Africa,3,0.81,30.00
amba1265,Ambai,Austronesian,amk,Papunesia,3,-1.88,136.53
amba1266,Amba (Solomon Islands),Austronesian,utp,Papunesia,0,-11.30,166.50
amba1267,Ambala Ayta,Austronesian,abc,Papunesia,0,14.82,120.28
amba1269,Ambakich,Keram,aew,Papunesia,2,-4.23,144.28
ambe1246,Ambermo,Unclassifiable,,Papunesia,0,-1.76,137.90
ambe1247,Ambele,Atlantic-Congo,ael,Africa,0,5.94,9.62
ambe1248,Ambelau,Austronesian,amv,Papunesia,0,-3.86,127.20
ambl1237,Amblong,Austronesian,alm,Papunesia,0,-15.52,166.95
ambo1249,Ambo,Atlantic-Congo,amb,Africa,0,7.08,10.78
ambo1250,Ambonese Malay,Austronesian,abs,Papunesia,3,-3.71,128.18
ambo1252,Ambo-Pasco Quechua,Quechuan,qva,South America,0,-10.51,-76.11
ambr1239,Ambrak,Nuclear Torricelli,aag,Papunesia,0,-3.61,142.56
ambu1247,Ambulas,Ndu,abt,Papunesia,4,-3.78,143.06
amda1238,Amdang,Furan,amj,Africa,0,14.75,20.89
amdo1237,Amdo Tibetan,Sino-Tibetan,adx,Eurasia,25,34.52,100.48
amel1241,Amele,Nuclear Trans New Guinea,aey,Papunesia,3,-5.29,145.69
amer1248,American Sign Language,Sign Language,ase,North America,2,33.81,-81.61
amer1255,American Indian Pidgin English,Pidgin,,North America,0,,
amer1256,Amerax,Bookkeeping,aex,,0,,
amga1235,Amganad Ifugao,Austronesian,ifa,Papunesia,2,16.90,121.04
amha1245,Amharic,Afro-Asiatic,amh,Africa,5,11.71,39.54
amii1238,Ami,Western Daly,amy,Australia,0,-13.56,130.04
amik1238,Amikoana,Bookkeeping,akn,,0,,
amis1246,Amis,Austronesian,ami,Papunesia,4,23.09,121.35
amol1235,Mol,Nuclear Torricelli,alx,Papunesia,0,-3.47,142.53
amol1236,Amoltepec Mixtec,Otomanguean,mbz,North America,0,16.65,-97.45
amoo1242,Amo,Atlantic-Congo,amo,Africa,0,10.32,8.65
amor1239,Amorite,Afro-Asiatic,,Eurasia,0,34.71,40.72
amot1239,Amotomanco,Unclassifiable,,North America,0,,
ampa1238,Ampari Dogon,Dogon,aqd,Africa,0,14.15,-3.55
ampa1239,Ampanang,Austronesian,apg,Papunesia,0,-0.79,116.35
amri1238,Amri Karbi,Sino-Tibetan,ajz,Eurasia,2,26.02,91.48
amto1250,Amto,Amto-Musan,amt,Papunesia,0,-4.12,141.34
amun1246,Amundava,Tupian,adw,South America,0,-9.04,-62.31
anaa1238,Anaang,Atlantic-Congo,anw,Africa,3,4.95,7.58
anak1240,Anakalang,Austronesian,akg,Papunesia,0,-9.63,119.61
anal1239,Anal,Sino-Tibetan,anm,Eurasia,2,24.05,94.28
anam1247,Anam,Nuclear Trans New Guinea,pda,Papunesia,0,-4.69,145.05
anam1248,Anamuxra,Nuclear Trans New Guinea,imi,Papunesia,0,-4.64,144.99
anam1249,Anambé,Tupian,aan,South America,0,-2.71,-49.30
anas1239,Anasi,Bookkeeping,bpo,Papunesia,0,-1.74,137.72
anat1248,Ana Tinga Dogon,Dogon,dti,Africa,0,14.67,-3.12
anau1243,Anauyá,Arawakan,,South America,0,1.48,-65.41
anca1236,Áncá,Bookkeeping,acb,Africa,0,6.67,11.11
anci1242,Ionic-Attic Ancient Greek,Indo-European,grc,Eurasia,4,39.82,21.91
anci1244,Ancient Hebrew,Afro-Asiatic,hbo,Eurasia,4,31.78,35.17
anci1245,Ancient North Arabian,Afro-Asiatic,xna,Eurasia,6,29.04,39.78
anci1248,Ancient Ligurian,Unclassifiable,xlg,Eurasia,0,,
anci1249,Ancient North Greek,Indo-European,,Eurasia,4,40.83,22.14
anda1280,Andaman Creole Hindi,Indo-European,hca,Eurasia,0,11.68,92.74
anda1283,Andai,Arafundi,afd,Papunesia,5,-4.96,143.64
anda1284,Andarum,Ramu,aod,Papunesia,0,-4.49,144.77
anda1286,Andaqui,,ana,South America,0,2.75,-76.00
anda1287,Andalusian Arabic,Afro-Asiatic,xaa,Eurasia,0,36.54,-5.20
ande1247,Andegerebinha,Pama-Nyungan,adg,Australia,1,-22.51,137.35
andi1255,Andi,Nakh-Daghestanian,ani,Eurasia,11,42.81,46.29
andi1257,Andio,Austronesian,bzb,Papunesia,0,-0.88,123.17
ando1254,Andoquero,Huitotoan,,South America,0,-0.67,-72.31
ando1255,Andoa,Zaparoan,anb,South America,0,-3.30,-76.61
ando1256,Andoque,,ano,South America,2,-0.54,-72.09
andr1246,Andro,Sino-Tibetan,,Eurasia,0,24.75,94.03
andr1248,Andra-Hus,Austronesian,anx,Papunesia,0,-2.06,147.09
anei1239,Aneityum,Austronesian,aty,Papunesia,0,-20.19,169.82
anem1248,Aneme Wake,Yareban,aby,Papunesia,5,-9.76,148.48
anem1249,Anem,,anz,Papunesia,2,-5.55,148.99
anfi1235,Anfillo,Ta-Ne-Omotic,myo,Africa,0,8.57,34.65
anga1288,Angami Naga,Sino-Tibetan,njm,Eurasia,10,25.68,93.87
anga1290,Angaataha,Angan,agm,Papunesia,0,-7.15,146.35
anga1292,Angal Heneng,Nuclear Trans New Guinea,akh,Papunesia,3,-6.13,143.48
anga1293,Angal,Nuclear Trans New Guinea,age,Papunesia,0,-6.01,143.59
anga1294,Angal Enen,Nuclear Trans New Guinea,aoe,Papunesia,1,-6.23,143.58
anga1315,Angami Naga Sign Language,Sign Language,,Eurasia,0,25.90,93.72
anga1316,Angaité,Lengua-Mascoy,aqt,South America,0,-22.85,-58.45
angg1238,Angkamuthi,Pama-Nyungan,avm,Australia,0,-11.44,142.24
angg1239,Angguruk Yali,Nuclear Trans New Guinea,yli,Papunesia,0,-4.08,139.46
angi1238,Angika,Indo-European,anp,Eurasia,0,26.00,85.53
angl1239,Archaic Angloromani,Indo-European,rme,Eurasia,0,51.75,-2.56
ango1254,Angor,Senagi,agg,Papunesia,2,-3.72,141.20
ango1255,Angoram,Lower Sepik,aog,Papunesia,0,-4.08,144.03
ango1257,Angosturas Tunebo,Chibchan,tnd,South America,0,6.54,-71.92
ango1258,Angolar,Indo-European,aoa,Africa,0,0.11,6.59
angu1242,Anguthimri,Pama-Nyungan,awg,Australia,0,-12.39,141.75
anii1245,Anii,Atlantic-Congo,blo,Africa,7,9.11,1.60
anii1246,//Ani,Khoe-Kwadi,hnh,Africa,0,-19.10,22.91
anim1239,Animere,Atlantic-Congo,anf,Africa,0,7.60,0.42
anin1240,Anindilyakwa,Gunwinyguan,aoi,Australia,0,-14.00,136.64
anin1242,Aninka,Atlantic-Congo,aqk,Africa,0,9.08,8.51
anip1235,Ani Phowa,Sino-Tibetan,ypn,Eurasia,0,23.70,103.60
anja1238,Anjam,Nuclear Trans New Guinea,boj,Papunesia,0,-5.46,145.72
anka1246,Ankave,Angan,aak,Papunesia,6,-7.19,145.75
anma1239,Anmatyerre,Pama-Nyungan,amx,Australia,2,-22.29,133.29
anor1241,Anor,Ramu,anj,Papunesia,0,-4.98,144.80
anse1238,Anserma,Chocoan,ans,South America,0,6.25,-76.05
ansu1237,Ansus,Austronesian,and,Papunesia,0,-1.75,135.87
anta1253,Antakarinya,Pama-Nyungan,ant,Australia,0,-27.12,134.84
anta1255,Antankarana Malagasy,Austronesian,xmv,Africa,2,-13.22,49.24
anti1242,Antioquian,Chibchan,,South America,0,7.20,-75.34
anti1245,Antigua and Barbuda Creole English,Indo-European,aig,North America,0,17.07,-61.82
anua1242,Anuak,Nilotic,anu,Africa,4,7.58,34.03
anuf1239,Anufo,Atlantic-Congo,cko,Africa,0,10.28,0.56
anuk1239,Anuki,Austronesian,aui,Papunesia,0,-9.67,149.82
anus1237,Korur,Austronesian,auq,Papunesia,0,-2.26,139.50
anut1237,Anuta,Austronesian,aud,Papunesia,0,-11.61,169.85
anuu1241,Anu-Hkongso,Sino-Tibetan,anl,Eurasia,2,21.50,93.05
anyi1244,Anyin Morofo,Atlantic-Congo,mtb,Africa,0,6.16,-4.64
anyi1245,Anyin,Atlantic-Congo,any,Africa,11,6.32,-3.31
aohe1237,Aoheng-Seputan,Austronesian,pni,Papunesia,2,0.87,114.13
aona1235,Ao Naga,Sino-Tibetan,njo,Eurasia,8,26.32,94.38
aore1237,Aore,Austronesian,aor,Papunesia,0,-15.58,167.17
aoua1234,A'ou,Tai-Kadai,aou,Eurasia,2,26.80,105.85
apal1237,Apalachee,Muskogean,xap,North America,0,30.12,-84.42
apal1255,Apalik,Austronesian,apo,Papunesia,0,-6.29,149.96
apal1256,Apali,Nuclear Trans New Guinea,ena,Papunesia,2,-5.17,145.02
apal1257,Apalaí,Cariban,apy,South America,0,1.50,-54.75
apas1235,Apasco-Apoala Mixtec,Otomanguean,mip,North America,0,17.61,-97.07
apat1240,Apatani,Sino-Tibetan,apt,Eurasia,0,27.19,93.73
apia1247,Apiaka-Tocantins,Cariban,,South America,0,-6.50,-49.77
apia1248,Apiaká,Tupian,api,South America,0,-7.85,-57.91
apin1244,Apinayé,Nuclear-Macro-Je,apn,South America,0,-6.11,-47.63
apma1240,Apma,Austronesian,app,Papunesia,2,-15.86,168.19
apma1241,Ap Ma,Keram,kbx,Papunesia,1,-4.35,144.09
apol1242,Apolista,Arawakan,,South America,0,-14.83,-68.66
apot1235,Apoto,Unattested,,South America,0,,
apro1235,Aproumu Aizi,Atlantic-Congo,ahp,Africa,0,5.20,-4.52
apuc1241,Apucikwar,Great Andamanese,apq,Eurasia,0,12.24,92.80
apul1236,Apulia-Calabrian Greek,Indo-European,,Eurasia,2,40.35,18.17
apur1254,Apurinã,Arawakan,apu,South America,0,-8.22,-66.77
aput1237,Aputai,Austronesian,apx,Papunesia,3,-7.85,126.50
arab1267,Arabana,Pama-Nyungan,ard,Australia,3,-28.70,135.45
arab1268,Arabela,Zaparoan,arl,South America,0,-1.96,-75.06
arab1399,Arab El-Naim Sign Language,Sign Language,,Eurasia,0,32.89,35.29
arac1235,Aracaju,Unclassifiable,,South America,0,,
araf1245,Arafundi-Enga Pidgin,Pidgin,,Papunesia,0,-5.10,143.30
arag1245,Aragonese,Indo-European,arg,Eurasia,4,42.47,-0.01
arai1239,Araicu,Arawakan,,South America,0,-3.10,-67.21
arak1252,Araki,Austronesian,akr,Papunesia,0,-15.63,166.95
arak1254,Arakwal,Bookkeeping,rkw,Australia,0,,
arak1256,Arakanese,Bookkeeping,mhv,,0,,
aral1243,Aralle-Tabulahan,Austronesian,atq,Papunesia,3,-2.78,119.32
aram1252,Aramanik,Bookkeeping,aam,Africa,0,-2.91,37.35
aram1253,Arammba,Yam,stk,Papunesia,0,-8.30,141.44
aram1260,Arame-Gubaare,Atlantic-Congo,,Africa,2,12.30,-16.37
aran1237,Dombano,South Bird's Head Family,jbj,Papunesia,3,-2.08,132.98
aran1261,Aranadan,Dravidian,aaf,Eurasia,0,11.35,75.80
aran1265,Aranama,Unclassifiable,xrt,North America,0,28.65,-97.39
