code      , canonical_code, is_iso3, is_glottocode, Articles, Avggoodpagelength  , adjusted_wp_size       , article_count, avg_article_length , entropy           , ethnologue_population, glotto_mapped_iso, glottocode, jw_bible_available, median_article_length, mention_total, os_base_required       , real_ratio          , realtotalratio      , wals_family          , wals_genus                       , wp_incubator, wp_size_chars
huil1244  , huh           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , None                 , huh              , huil1244  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
huli1244  , hui           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , 10K to 1M            , hui              , huli1244  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
nort1545  , huj           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , 10K to 1M            , huj              , nort1545  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
hulu1246  , huk           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , None                 , huk              , hulu1246  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
hula1239  , hul           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        , hul              , hula1239  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
hung1278  , hum           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        , hum              , hung1278  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
hung1274  , hun           , True   , True         ,   808276, 4246.008274616861  ,  3414900456.4331856    ,        808276, 4246.008274616861  , 5.55346699532109  , 1M to 1B             , hun              , hung1274  ,                  1,  1685.5623207675071  ,            14, Any language           , 0.6584631982144713  , 0.6584631982144713  , Uralic               , Ugric                            ,            1,  3414900456.4331856
huuu1240  , huo           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        , huo              , huuu1240  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
hupa1239  , hup           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , None                 , hup              , hupa1239  ,                  0,                      ,              ,                        ,                     ,                     , Na-Dene              , Athapaskan                       ,             ,            
tsat1238  , huq           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        , huq              , tsat1238  ,                   ,                      ,              ,                        ,                     ,                     , Austronesian         , Malayo-Sumbawan                  ,             ,            
hur       , hur           , True   , False        ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        ,                  , halk1245  ,                   ,                      ,              ,                        ,                     ,                     , Salishan             , Central Salish                   ,             ,            
hus       , hus           , True   , False        ,         ,                    ,                        ,              ,                    ,                   , 10K to 1M            ,                  , huas1242  ,                   ,                      ,              ,                        ,                     ,                     , Mayan                , Mayan                            ,             ,            
