code,iso639_3,glottocode,AdjustedWPsize,Articles,WPincubatornew,WPsizeinchars,Realtotalratio,Avggoodpagelength,Population Size,Digital Support,has_glottolog,has_bible,win11_os_supported,tatoeba_sentences,has_wals,Ethnologue_Status,has_wiki
adb,adb,adab1235,,,0,,,,5,0,1,0,0,,0,2,0
add,add,dzod1238,,,0,,,,3,1,1,0,0,,0,2,0
ade,ade,adel1244,,,0,,,,5,1,1,0,0,,0,2,0
adf,adf,dhof1235,,,0,,,,5,0,1,0,0,,0,2,0
adg,adg,ande1247,,,0,,,,0,0,1,0,0,,0,1,0
adh,adh,adho1243,,,0,,,,5,2,1,0,0,,0,2,0
adi,adi,bori1243,,,0,,,,5,2,1,0,0,,1,2,0
adj,adj,adio1239,,,0,,,,5,1,1,0,0,,1,2,0
adl,adl,galo1242,,,0,,,,5,2,1,0,0,,1,2,0
adn,adn,adan1251,,,0,,,,3,0,1,0,0,,1,1,0
ado,ado,abuu1241,,,0,,,,3,0,1,0,0,,0,1,0
adp,adp,adap1234,,,,,,,,,1,0,0,,0,,0
adq,adq,adan1248,,,0,,,,3,1,1,0,0,,0,1,0
adr,adr,adon1237,,,0,,,,5,0,1,0,0,,0,2,0
ads,ads,adam1238,,,0,,,,0,0,1,0,0,,1,2,0
adt,adt,adny1235,,,0,,,,3,0,1,0,0,,1,1,0
adu,adu,adug1238,,,0,,,,3,0,1,0,0,,0,1,0
adw,adw,amun1246,,,0,,,,0,0,1,0,0,,0,1,0
adx,adx,amdo1237,,,0,,,,7,2,1,0,0,,1,2,0
ady,ady,adyg1241,5.820676,3.017868,0,5.820676,0.3675623800383877,2.852286,5,2,1,1,0,1.505149978319906,1,2,1
adz,adz,adze1240,,,0,,,,5,1,1,0,0,,1,3,0
aea,aea,areb1238,,,0,,,,0,1,1,0,0,,0,0,0
aeb,aeb,tuni1259,,,1,,,,7,3,1,0,0,,1,3,0
aec,aec,said1239,,,0,,,,7,1,1,0,0,,0,2,0
aed,aed,arge1236,,,0,,,,5,1,1,0,0,,1,2,0
aee,aee,nort2666,,,0,,,,5,0,1,0,0,,0,2,0
aek,aek,haek1239,,,0,,,,3,0,1,0,0,,0,1,0
ael,ael,ambe1247,,,0,,,,3,1,1,0,0,,0,2,0
aem,aem,arem1240,,,0,,,,3,1,1,0,0,,0,1,0
aen,aen,arme1259,,,0,,,,3,1,1,0,0,,0,2,0
aeq,aeq,aerr1238,,,0,,,,3,1,1,0,0,,0,1,0
aer,aer,east2379,,,0,,,,3,2,1,0,0,,1,3,0
aes,aes,alse1251,,,0,,,,0,1,1,0,0,,1,0,0
aeu,aeu,akeu1235,,,0,,,,5,2,1,0,0,,0,2,0
aew,aew,amba1269,,,0,,,,3,0,1,0,0,,0,1,0
aex,aex,amer1256,,,,,,,,,1,0,0,,0,,0
aey,aey,amel1241,,,0,,,,3,1,1,0,0,,1,1,0
aez,aez,aeka1244,,,0,,,,3,0,1,0,0,,0,2,0
afb,afb,gulf1241,,,1,,,,7,2,1,0,0,2.0969100130080562,1,3,0
afd,afd,anda1283,,,0,,,,3,0,1,0,0,,0,2,0
afe,afe,putu1241,,,0,,,,5,1,1,0,0,,0,2,0
afg,afg,afgh1239,,,0,,,,5,0,1,0,0,,0,2,0
afh,afh,afri1275,,,,,,,,,1,0,0,1.8976270912904414,0,,0
afi,afi,akru1241,,,0,,,,0,0,1,0,0,,0,1,0
afk,afk,nanu1240,,,0,,,,3,0,1,0,0,,0,1,0
afn,afn,defa1248,,,0,,,,3,1,1,0,0,,1,1,0
afo,afo,eloy1241,,,0,,,,5,0,1,0,0,,0,1,0
afp,afp,tape1242,,,0,,,,3,0,1,0,0,,0,2,0
afr,afr,afri1274,8.70797,5.198709,0,8.70797,0.7844752846176726,3.510865,7,3,1,1,1,3.667826378950711,1,3,1
afs,afs,afro1254,,,0,,,,3,1,1,0,0,,0,1,0
aft,aft,afit1238,,,0,,,,3,0,1,0,0,,0,1,0
afu,afu,awut1241,,,0,,,,5,0,1,0,0,,0,2,0
afz,afz,obok1239,,,0,,,,3,0,1,0,0,,1,1,0
aga,aga,agua1251,,,0,,,,0,0,1,0,0,,0,0,0
agb,agb,legb1242,,,0,,,,5,0,1,0,0,,1,2,0
agc,agc,agat1236,,,0,,,,5,1,1,0,0,,0,2,0
agd,agd,agar1252,,,0,,,,5,1,1,0,0,,1,2,0
age,age,anga1293,,,0,,,,5,0,1,0,0,,0,2,0
agf,agf,argu1237,,,0,,,,3,0,1,0,0,,0,1,0
agg,agg,ango1254,,,0,,,,3,1,1,0,0,,1,1,0
agh,agh,ngel1238,,,0,,,,5,1,1,0,0,,1,2,0
agi,agi,agar1251,,,0,,,,5,0,1,0,0,,0,2,0
agj,agj,argo1244,,,0,,,,5,1,1,0,0,,0,1,0
agk,agk,isar1235,,,0,,,,0,0,1,0,0,,0,1,0
agl,agl,femb1238,,,0,,,,3,0,1,0,0,,0,1,0
agm,agm,anga1290,,,0,,,,3,1,1,0,0,,1,2,0
agn,agn,agut1237,,,0,,,,5,2,1,0,0,,0,2,0
ago,ago,tain1253,,,0,,,,3,1,1,0,0,,0,2,0
agq,agq,aghe1239,,,0,,,,5,2,1,0,0,,1,2,0
agr,agr,agua1253,,,0,,,,5,2,1,0,0,,1,3,0
ags,ags,esim1238,,,0,,,,5,2,1,0,0,,0,2,0
agt,agt,cent2084,,,0,,,,3,1,1,0,0,,1,2,0
agu,agu,agua1252,,,0,,,,5,2,1,0,0,,1,2,0
agv,agv,remo1247,,,0,,,,3,1,1,0,0,,0,1,0
agw,agw,kahu1241,,,0,,,,3,1,1,0,0,,0,2,0
agx,agx,aghu1253,,,0,,,,5,1,1,0,0,,1,2,0
agy,agy,sout2905,,,0,,,,3,1,1,0,0,,0,1,0
agz,agz,mtir1235,,,0,,,,3,0,1,0,0,,0,1,0
aha,aha,ahan1243,,,0,,,,5,2,1,0,0,,0,2,0
ahb,ahb,axam1237,,,0,,,,3,1,1,0,0,,0,1,0
ahe,ahe,ahea1240,,,,,,,,,1,0,0,,0,,0
ahg,ahg,qima1242,,,0,,,,3,1,1,0,0,,1,1,0
ahh,ahh,aghu1255,,,0,,,,3,0,1,0,0,,1,1,0
ahi,ahi,tiag1235,,,0,,,,3,0,1,0,0,,0,2,0
ahk,ahk,akha1245,,,0,,,,5,2,1,0,0,,1,3,0
ahl,ahl,igoo1238,,,0,,,,3,1,1,0,0,,0,2,0
ahm,ahm,mobu1235,,,0,,,,3,0,1,0,0,,0,1,0
ahn,ahn,ahan1244,,,0,,,,3,0,1,0,0,,0,1,0
aho,aho,ahom1240,,,0,,,,0,1,1,0,0,,0,1,0
ahp,ahp,apro1235,,,0,,,,3,0,1,0,0,,1,1,0
ahr,ahr,ahir1243,,,1,,,,7,2,1,0,0,,0,2,0
ahs,ahs,ashe1269,,,0,,,,5,1,1,0,0,,0,2,0
aht,aht,ahte1237,,,0,,,,0,1,1,0,0,,1,1,0
aia,aia,aros1241,,,0,,,,5,2,1,0,0,,1,3,0
aib,aib,ainu1251,,,0,,,,5,1,1,0,0,,1,1,0
aic,aic,ainb1238,,,0,,,,3,0,1,0,0,,0,1,0
aid,aid,alng1239,,,0,,,,0,0,1,0,0,,0,0,0
aie,aie,amar1272,,,0,,,,3,0,1,0,0,,1,1,0
aif,aif,agii1245,,,0,,,,3,0,1,0,0,,0,2,0
aig,aig,anti1245,,,0,,,,5,1,1,0,0,,0,2,0
aih,aih,aich1238,,,0,,,,3,0,1,0,0,,0,1,0
aii,aii,assy1241,,,1,,,,5,2,1,0,0,0.7781512503836436,1,1,0
aij,aij,lish1245,,,0,,,,3,0,1,0,0,,1,1,0
aik,aik,akee1238,,,0,,,,3,0,1,0,0,,0,1,0
ail,ail,aime1238,,,0,,,,3,0,1,0,0,,0,2,0
aim,aim,aimo1244,,,0,,,,3,1,1,0,0,,0,1,0
ain,ain,ainu1240,,,1,,,,0,2,1,0,0,2.6665179805548807,1,1,0
aio,aio,aito1238,,,0,,,,3,1,1,0,0,,0,1,0
aip,aip,buru1307,,,0,,,,0,0,1,0,0,,0,1,0
aiq,aiq,aima1241,,,0,,,,7,0,1,0,0,,0,2,0
air,air,airo1242,,,0,,,,3,0,1,0,0,,0,1,0
ait,ait,arik1264,,,0,,,,0,0,1,0,0,,0,0,0
aiw,aiw,aari1239,,,0,,,,5,1,1,0,0,,1,3,0
aix,aix,aigh1235,,,0,,,,3,0,1,0,0,,0,2,0
aiy,aiy,alii1240,,,0,,,,5,0,1,0,0,,0,2,0
aja,aja,ajas1235,,,0,,,,3,1,1,0,0,,1,1,0
ajg,ajg,ajab1235,,,1,,,,7,2,1,0,0,,1,2,0
aji,aji,ajie1238,,,0,,,,3,1,1,0,0,,1,2,0
ajn,ajn,,,,0,,,,0,0,0,0,0,,0,1,0
ajs,ajs,ghar1240,,,0,,,,0,0,1,0,0,,0,1,0
aju,aju,jude1265,,,1,,,,5,1,1,0,0,,0,1,0
ajw,ajw,ajaw1236,,,0,,,,0,0,1,0,0,,0,0,0
