code,iso639_3,glottocode,AdjustedWPsize,Articles,WPincubatornew,WPsizeinchars,Realtotalratio,Avggoodpagelength,Population Size,Digital Support,has_glottolog,has_bible,win11_os_supported,tatoeba_sentences,has_wals,Ethnologue_Status,has_wiki
dhl,dhl,dhal1245,,,0,,,,0,0,1,0,0,,1,1,0
dhm,dhm,zemb1238,,,0,,,,5,1,1,0,0,,0,2,0
dhn,dhn,dhan1264,,,0,,,,5,1,1,0,0,,0,2,0
dho,dho,dhod1238,,,0,,,,5,0,1,0,0,,0,2,0
dhr,dhr,dhar1247,,,0,,,,0,0,1,0,0,,1,1,0
dhs,dhs,dhai1238,,,0,,,,3,1,1,0,0,,0,1,0
dhu,dhu,dhur1239,,,0,,,,0,0,1,0,0,,1,1,0
dhv,dhv,dehu1237,,,0,,,,5,1,1,0,0,,1,2,0
dhw,dhw,koch1253,,,0,,,,5,1,1,0,0,,0,1,0
dhx,dhx,,,,0,,,,0,0,0,0,0,,0,1,0
dia,dia,diaa1238,,,0,,,,3,1,1,0,0,,0,2,0
dib,dib,sout2833,,,0,,,,7,1,1,0,0,,0,2,0
dic,dic,lako1244,,,0,,,,5,1,1,0,0,,1,2,0
did,did,didi1258,,,0,,,,5,2,1,0,0,,1,2,0
dif,dif,dier1241,,,0,,,,0,1,1,0,0,,1,1,0
dig,dig,digo1243,,,0,,,,5,2,1,0,0,,0,3,0
dih,dih,kumi1248,,,0,,,,3,1,1,0,0,,1,1,0
dii,dii,dimb1238,,,0,,,,3,1,1,0,0,,0,1,0
dij,dij,daii1240,,,0,,,,3,0,1,0,0,,0,1,0
dik,dik,sout2832,,,0,,,,7,2,1,0,0,,0,2,0
dil,dil,dill1242,,,0,,,,5,0,1,0,0,,0,1,0
dim,dim,dime1235,,,0,,,,3,1,1,0,0,,1,2,0
din,din,,5.81017,2.810233,0,5.81017,0.7352941176470589,3.006836,,,0,1,0,,1,,1
dio,dio,dibo1247,,,0,,,,5,0,1,0,0,,0,2,0
dip,dip,nort2815,,,0,,,,5,1,1,0,0,,0,2,0
diq,diq,diml1238,7.435478,4.668339,0,7.435478,0.46687412812533535,2.85251,7,1,1,0,0,0.8450980400142568,1,1,1
dir,dir,diri1253,,,0,,,,3,0,1,0,0,,0,1,0
dis,dis,dima1251,,,1,,,,5,1,1,0,0,,1,2,0
diu,diu,diri1252,,,0,,,,5,1,1,0,0,,0,3,0
div,div,dhiv1236,6.999807,3.742018,0,6.999807,0.5750769788081869,3.271259,5,3,1,0,0,1.6020599913279623,1,3,1
diw,diw,nort2816,,,0,,,,5,1,1,0,0,,0,2,0
dix,dix,dixo1238,,,0,,,,0,0,1,0,0,,0,1,0
diy,diy,diuw1238,,,0,,,,3,0,1,0,0,,0,1,0
diz,diz,ding1239,,,0,,,,5,0,1,0,0,,1,2,0
dja,dja,,,,0,,,,0,0,0,0,0,,0,0,0
djb,djb,djin1252,,,0,,,,0,1,1,0,0,,0,1,0
djc,djc,dard1243,,,0,,,,5,1,1,0,0,,0,2,0
djd,djd,djam1255,,,0,,,,3,1,1,0,0,,1,1,0
dje,dje,zarm1239,,,1,,,,7,2,1,0,0,,1,3,0
djf,djf,djan1238,,,0,,,,0,0,1,0,0,,0,0,0
dji,dji,djin1253,,,0,,,,3,1,1,0,0,,1,1,0
djj,djj,djee1236,,,0,,,,3,0,1,0,0,,1,1,0
djk,djk,ndyu1242,,,0,,,,5,2,1,0,0,,1,2,0
djm,djm,jams1239,,,0,,,,5,1,1,0,0,,1,2,0
djn,djn,djau1244,,,0,,,,0,0,1,0,0,,0,1,0
djo,djo,jang1257,,,0,,,,5,0,1,0,0,,0,2,0
djr,djr,djam1256,,,0,,,,3,1,1,0,0,,1,3,0
dju,dju,kapr1245,,,0,,,,3,0,1,0,0,,1,2,0
djw,djw,djaw1238,,,0,,,,0,0,1,0,0,,0,0,0
dka,dka,dakp1242,,,0,,,,3,0,1,0,0,,0,1,0
dkg,dkg,vagh1248,,,0,,,,5,0,1,0,0,,0,2,0
dkk,dkk,dakk1238,,,0,,,,3,1,1,0,0,,0,1,0
dkl,dkl,kolu1247,,,,,,,,,1,0,0,,0,,0
dkr,dkr,kuij1237,,,0,,,,0,0,1,0,0,,0,1,0
dks,dks,sout2834,,,0,,,,7,1,1,0,0,,0,2,0
dkx,dkx,maza1304,,,0,,,,5,1,1,0,0,,0,2,0
dlg,dlg,dolg1241,,,1,,,,3,1,1,0,0,,1,1,0
dlk,dlk,daha1247,,,0,,,,3,0,1,0,0,,0,1,0
dlm,dlm,dalm1243,,,0,,,,0,1,1,0,0,,0,0,0
dln,dln,darl1242,,,0,,,,3,1,1,0,0,,0,2,0
dma,dma,duma1253,,,0,,,,5,0,1,0,0,,1,2,0
dmb,dmb,momb1254,,,0,,,,5,0,1,0,0,,0,2,0
dmc,dmc,dimi1244,,,0,,,,3,0,1,0,0,,0,1,0
dmd,dmd,,,,0,,,,0,0,0,0,0,,1,1,0
dme,dme,dugw1239,,,0,,,,3,1,1,0,0,,0,2,0
dmf,dmf,mede1238,,,,,,,,,1,0,0,,0,,0
dmg,dmg,uppe1427,,,0,,,,0,1,1,0,0,,0,1,0
dmk,dmk,doma1260,,,0,,,,3,0,1,0,0,,1,1,0
dml,dml,dame1241,,,0,,,,3,1,1,0,0,,0,2,0
dmm,dmm,dama1267,,,0,,,,0,1,1,0,0,,0,1,0
dmo,dmo,keme1240,,,0,,,,3,1,1,0,0,,0,2,0
dmr,dmr,east2472,,,0,,,,3,0,1,0,0,,0,2,0
dms,dms,damp1237,,,0,,,,5,0,1,0,0,,0,1,0
dmu,dmu,dubu1240,,,0,,,,3,0,1,0,0,,0,1,0
dmv,dmv,dump1242,,,0,,,,3,0,1,0,0,,0,1,0
dmw,dmw,mudb1240,,,0,,,,3,1,1,0,0,,1,1,0
dmx,dmx,dema1235,,,0,,,,5,0,1,0,0,,0,1,0
dmy,dmy,demt1241,,,0,,,,3,0,1,0,0,,0,1,0
dna,dna,uppe1430,,,0,,,,5,1,1,0,0,,0,1,0
dnd,dnd,daon1243,,,0,,,,3,0,1,0,0,,0,2,0
dne,dne,nden1249,,,0,,,,5,1,1,0,0,,0,2,0
dng,dng,dung1253,,,1,,,,5,2,1,0,0,1.4913616938342726,0,1,0
dni,dni,lowe1415,,,0,,,,5,1,1,0,0,,1,1,0
dnj,dnj,,,,1,,,,7,2,0,0,0,,1,2,0
dnk,dnk,deng1253,,,0,,,,5,0,1,0,0,,0,2,0
dnn,dnn,dzuu1241,,,0,,,,5,1,1,0,0,,0,2,0
dno,dno,ndru1234,,,0,,,,5,1,1,0,0,,0,2,0
dnr,dnr,dana1254,,,0,,,,3,0,1,0,0,,0,1,0
dnt,dnt,midg1235,,,0,,,,5,1,1,0,0,,0,2,0
dnu,dnu,dana1252,,,0,,,,3,0,1,0,0,,0,1,0
dnv,dnv,,,,0,,,,5,1,0,0,0,,0,2,0
dnw,dnw,west2594,,,0,,,,5,2,1,0,0,,0,2,0
dny,dny,deni1241,,,0,,,,3,0,1,0,0,,1,2,0
doa,doa,domm1246,,,0,,,,5,0,1,0,0,,0,2,0
dob,dob,dobu1241,,,0,,,,5,1,1,0,0,,0,3,0
doc,doc,nort2735,,,0,,,,5,0,1,0,0,,0,1,0
doe,doe,doee1238,,,0,,,,5,1,1,0,0,,0,2,0
dof,dof,domu1245,,,0,,,,3,0,1,0,0,,0,2,0
doh,doh,dong1293,,,0,,,,3,0,1,0,0,,0,2,0
doi,doi,,,,0,,,,,,0,0,0,,0,,0
dok,dok,dond1249,,,0,,,,5,0,1,0,0,,0,1,0
dol,dol,doso1239,,,0,,,,3,0,1,0,0,,0,1,0
don,don,tour1243,,,0,,,,3,0,1,0,0,,0,1,0
doo,doo,dong1290,,,0,,,,5,1,1,0,0,,1,2,0
dop,dop,lukp1238,,,0,,,,5,2,1,0,0,,0,2,0
doq,doq,domi1236,,,0,,,,5,0,1,0,0,,0,2,0
dor,dor,dori1246,,,0,,,,3,0,1,0,0,,0,2,0
dos,dos,dogo1295,,,0,,,,5,1,1,0,0,,0,2,0
dot,dot,dass1243,,,0,,,,3,0,1,0,0,,0,2,0
dov,dov,domb1246,,,0,,,,0,1,1,0,0,,0,2,0
dow,dow,doya1240,,,0,,,,5,2,1,0,0,,1,2,0
dox,dox,buss1239,,,0,,,,5,0,1,0,0,,0,1,0
doy,doy,domp1238,,,0,,,,0,0,1,0,0,,0,1,0
doz,doz,dorz1235,,,0,,,,5,0,1,0,0,,0,1,0
dpp,dpp,papa1268,,,0,,,,3,0,1,0,0,,0,1,0
drb,drb,dair1239,,,0,,,,3,0,1,0,0,,0,1,0
drc,drc,mind1263,,,0,,,,3,0,1,0,0,,0,1,0
drd,drd,darm1243,,,0,,,,3,1,1,0,0,,1,1,0
dre,dre,dolp1239,,,0,,,,3,1,1,0,0,,0,2,0
drg,drg,rung1259,,,0,,,,5,1,1,0,0,,0,1,0
dri,dri,clel1238,,,0,,,,5,1,1,0,0,,0,2,0
drl,drl,darl1243,,,0,,,,0,1,1,0,0,,1,1,0
drn,drn,west2548,,,0,,,,3,0,1,0,0,,0,2,0
dro,dro,daro1239,,,0,,,,3,0,1,0,0,,0,2,0
drq,drq,dura1244,,,0,,,,0,0,1,0,0,,0,1,0
drr,drr,doro1267,,,,,,,,,1,0,0,,0,,0
drs,drs,gede1246,,,0,,,,7,2,1,0,0,,0,3,0
drt,drt,,,,0,,,,5,1,0,0,0,1.6434526764861874,0,2,0
dru,dru,ruka1240,,,1,,,,3,2,1,0,0,,1,1,0
dry,dry,dara1250,,,0,,,,5,1,1,0,0,,1,1,0
dsb,dsb,lowe1385,6.792061,3.619302,0,6.792061,0.7498798654493032,3.181462,3,3,1,0,0,3.196728722623287,1,1,1
dse,dse,dutc1253,,,0,,,,5,1,1,0,0,,1,2,0
dsh,dsh,daas1238,,,0,,,,5,1,1,0,0,,1,2,0
dsi,dsi,disa1239,,,0,,,,3,1,1,0,0,,0,1,0
dsk,dsk,lush1256,,,0,,,,0,0,1,0,0,,0,1,0
dsl,dsl,dani1246,,,0,,,,5,1,1,0,0,,0,2,0
dsn,dsn,dusn1237,,,0,,,,0,0,1,0,0,,0,1,0
dso,dso,desi1235,,,0,,,,5,2,1,0,0,,0,3,0
dsq,dsq,tada1238,,,0,,,,5,1,1,0,0,,0,2,0
dsz,dsz,mard1245,,,0,,,,0,0,1,0,0,,0,1,0
dta,dta,daur1238,,,0,,,,5,1,1,0,0,,1,1,0
dtb,dtb,labu1249,,,0,,,,0,1,1,0,0,,0,1,0
dtd,dtd,diti1235,,,0,,,,0,1,1,0,0,,1,1,0
dth,dth,,,,0,,,,0,0,0,0,0,,0,0,0
dti,dti,anat1248,,,0,,,,3,0,1,0,0,,0,1,0
dtk,dtk,tene1248,,,0,,,,5,1,1,0,0,,0,2,0
dtm,dtm,tomo1243,,,0,,,,5,1,1,0,0,,0,2,0
dtn,dtn,daat1234,,,0,,,,3,0,1,0,0,,0,2,0
dto,dto,tomm1242,,,0,,,,5,0,1,0,0,,1,2,0
dtp,dtp,cent2100,7.135365,3.284882,0,7.135365,0.9351323300467047,3.851327,5,2,1,0,0,3.485295438726089,0,2,1
dtr,dtr,lotu1250,,,0,,,,5,1,1,0,0,,0,1,0
dts,dts,toro1252,,,0,,,,5,2,1,0,0,,1,3,0
dtt,dtt,toro1253,,,0,,,,3,1,1,0,0,,0,2,0
dtu,dtu,tebu1239,,,0,,,,3,0,1,0,0,,0,2,0
dty,dty,doty1234,6.929417,3.623869,0,6.929417,0.5946267237280076,3.319564,5,2,1,0,0,,0,2,1
dua,dua,dual1243,,,1,,,,5,2,1,1,0,,1,3,0
dub,dub,dubl1239,,,0,,,,5,1,1,0,0,,0,1,0
duc,duc,duna1248,,,0,,,,5,1,1,0,0,,1,2,0
dud,dud,huns1239,,,,,,,,,1,0,0,,1,,0
due,due,umir1236,,,0,,,,3,2,1,0,0,,0,1,0
duf,duf,dumb1241,,,0,,,,3,1,1,0,0,,1,1,0
dug,dug,duru1249,,,0,,,,5,2,1,0,0,,0,3,0
duh,duh,dung1251,,,0,,,,5,0,1,0,0,,0,2,0
dui,dui,dumu1246,,,0,,,,3,0,1,0,0,,0,1,0
duj,duj,dhuw1249,,,,,,,,,1,0,0,,1,,0
duk,duk,dudu1240,,,0,,,,3,0,1,0,0,,0,1,0
dul,dul,alab1246,,,0,,,,0,0,1,0,0,,0,1,0
dum,dum,midd1321,,,,,,,,,1,0,0,,0,,0
dun,dun,dusu1271,,,0,,,,5,1,1,0,0,,0,1,0
duo,duo,dupa1235,,,0,,,,3,2,1,0,0,,1,1,0
dup,dup,duan1242,,,0,,,,3,0,1,0,0,,0,1,0
duq,duq,dusu1269,,,0,,,,3,1,1,0,0,,0,1,0
dur,dur,diii1241,,,0,,,,5,2,1,0,0,,1,2,0
dus,dus,dumi1241,,,0,,,,3,1,1,0,0,,1,1,0
duu,duu,drun1238,,,0,,,,5,1,1,0,0,,1,2,0
duv,duv,duvl1242,,,0,,,,3,0,1,0,0,,0,1,0
duw,duw,dusu1267,,,0,,,,3,0,1,0,0,,0,1,0
dux,dux,duun1242,,,0,,,,5,1,1,0,0,,0,2,0
duy,duy,dica1235,,,0,,,,0,0,1,0,0,,0,0,0
duz,duz,duli1241,,,0,,,,0,1,1,0,0,,0,1,0
dva,dva,duau1237,,,0,,,,3,1,1,0,0,,0,2,0
dwa,dwa,diri1259,,,0,,,,3,0,1,0,0,,0,1,0
dwk,dwk,dawi1234,,,0,,,,5,1,1,0,0,,0,2,0
dwl,dwl,walo1239,,,,,,,,,1,0,0,,0,,0
dwr,dwr,dawr1236,,,0,,,,5,1,1,0,0,,1,3,0
dws,dws,dutt1234,,,,,,,,,1,0,0,2.0293837776852097,0,,0
dwu,dwu,,,,0,,,,3,1,0,0,0,,1,2,0
dww,dww,dawa1242,,,0,,,,3,1,1,0,0,,0,2,0
dwy,dwy,,,,0,,,,3,2,0,0,0,,0,3,0
dwz,dwz,dhan1265,,,0,,,,5,0,1,0,0,,0,1,0
dya,dya,dyan1251,,,0,,,,5,1,1,0,0,,0,2,0
dyb,dyb,dyab1238,,,0,,,,0,0,1,0,0,,0,0,0
dyd,dyd,dyug1238,,,0,,,,0,0,1,0,0,,0,0,0
dyg,dyg,vill1242,,,0,,,,0,0,1,0,0,,0,0,0
dyi,dyi,djim1235,,,0,,,,5,1,1,0,0,,1,2,0
dyk,dyk,land1262,,,,,,,,,1,0,0,,0,,0
dym,dym,yand1257,,,0,,,,3,0,1,0,0,,0,2,0
dyn,dyn,dyan1250,,,0,,,,0,0,1,0,0,,0,0,0
dyo,dyo,jola1263,,,0,,,,5,2,1,0,0,,1,2,0
dyr,dyr,dyar1234,,,0,,,,3,0,1,0,0,,0,2,0
dyu,dyu,dyul1238,,,0,,,,7,2,1,1,0,,1,3,0
dyy,dyy,dyaa1242,,,0,,,,0,0,1,0,0,,1,1,0
dza,dza,tunz1235,,,0,,,,3,0,1,0,0,,0,1,0
dzd,dzd,daza1244,,,0,,,,3,0,1,0,0,,0,1,0
dze,dze,djiw1241,,,0,,,,0,0,1,0,0,,0,0,0
dzg,dzg,daza1242,,,0,,,,5,2,1,0,0,,0,3,0
dzl,dzl,dzal1238,,,0,,,,5,0,1,0,0,,0,2,0
dzn,dzn,dzan1238,,,0,,,,3,0,1,0,0,,0,2,0
dzo,dzo,dzon1239,6.676287,3.182985,0,6.676287,0.6095800524934383,3.498391,5,2,1,0,0,,0,3,1
eaa,eaa,,,,0,,,,0,0,0,0,0,,0,1,0
ebc,ebc,,,,0,,,,3,0,0,0,0,,0,2,0
ebg,ebg,ebug1241,,,0,,,,3,0,1,0,0,,0,2,0
ebk,ebk,,,,0,,,,3,1,0,0,0,,0,2,0
ebo,ebo,teke1278,,,0,,,,5,0,1,0,0,,0,2,0
ebr,ebr,ebri1238,,,0,,,,5,1,1,0,0,,0,2,0
ebu,ebu,embu1241,,,0,,,,5,2,1,0,0,,0,2,0
ecr,ecr,eteo1236,,,,,,,,,1,0,0,,0,,0
ecs,ecs,ecua1243,,,0,,,,5,1,1,0,0,,0,2,0
ecy,ecy,eteo1240,,,,,,,,,1,0,0,,0,,0
eee,eee,eeee1240,,,0,,,,3,1,1,0,0,,0,1,0
efa,efa,efai1241,,,0,,,,3,0,1,0,0,,0,2,0
efe,efe,efee1239,,,0,,,,5,1,1,0,0,,0,2,0
efi,efi,efik1245,,,1,,,,7,2,1,1,0,,1,3,0
ega,ega,egaa1242,,,0,,,,3,0,1,0,0,,1,1,0
egl,egl,emil1241,,,0,,,,5,2,1,0,0,2.1583624920952498,1,1,0
egm,egm,,,,0,,,,5,0,0,0,0,,0,2,0
ego,ego,eggo1239,,,0,,,,5,1,1,0,0,,0,1,0
egy,egy,egyp1246,,,,,,,,,1,0,0,,0,,0
ehs,ehs,miya1268,,,0,,,,0,0,1,0,0,,0,2,0
ehu,ehu,ehue1238,,,0,,,,5,0,1,0,0,,0,2,0
eip,eip,eipo1242,,,0,,,,3,1,1,0,0,,1,1,0
eit,eit,eiti1240,,,0,,,,3,0,1,0,0,,0,1,0
eiv,eiv,asko1238,,,0,,,,3,0,1,0,0,,0,2,0
eja,eja,ejam1238,,,0,,,,5,1,1,0,0,,0,1,0
eka,eka,ekaj1238,,,0,,,,5,1,1,0,0,,0,2,0
ekb,ekb,ekaa1234,,,,,,,,,1,0,0,,0,,0
eke,eke,ekit1246,,,0,,,,5,0,1,0,0,,0,2,0
ekg,ekg,ekar1243,,,0,,,,5,1,1,0,0,,1,2,0
eki,eki,ekii1241,,,0,,,,3,0,1,0,0,,0,2,0
ekk,ekk,esto1258,,,0,,,,7,3,1,0,0,,1,3,0
ekl,ekl,kolb1241,,,0,,,,3,1,1,0,0,,0,2,0
ekm,ekm,elip1238,,,0,,,,5,2,1,0,0,,0,2,0
eko,eko,koti1238,,,0,,,,5,2,1,0,0,,1,2,0
ekp,ekp,ekpe1253,,,1,,,,5,1,1,0,0,,0,2,0
ekr,ekr,yace1238,,,0,,,,5,0,1,0,0,,0,2,0
eky,eky,east2342,,,1,,,,5,1,1,0,0,,1,2,0
ele,ele,elep1240,,,0,,,,3,0,1,0,0,,0,1,0
elh,elh,elhu1238,,,0,,,,0,0,1,0,0,,0,1,0
eli,eli,ndin1245,,,0,,,,3,0,1,0,0,,0,1,0
elk,elk,elke1240,,,0,,,,3,0,1,0,0,,0,2,0
ell,ell,mode1248,9.182515,5.56334,0,9.182515,0.6692995810113124,3.621644,7,3,1,0,0,4.611808247276516,1,3,1
elm,elm,elem1253,,,0,,,,5,0,1,0,0,,0,2,0
elo,elo,elmo1238,,,0,,,,0,0,1,0,0,,0,1,0
elp,elp,elpa1240,,,,,,,,,1,0,0,,0,,0
elu,elu,eluu1241,,,0,,,,3,0,1,0,0,,0,1,0
elx,elx,elam1244,,,,,,,,,1,0,0,,0,,0
ema,ema,emai1241,,,0,,,,5,1,1,0,0,,1,2,0
emb,emb,emba1238,,,0,,,,5,0,1,0,0,,1,1,0
eme,eme,emer1243,,,0,,,,3,1,1,0,0,,1,2,0
emg,emg,east2357,,,0,,,,3,1,1,0,0,,0,1,0
emi,emi,muss1246,,,0,,,,3,2,1,0,0,,1,2,0
emk,emk,east2426,,,0,,,,7,2,1,0,0,,1,3,0
emm,emm,,,,0,,,,0,0,0,0,0,,0,0,0
emn,emn,eman1238,,,0,,,,3,1,1,0,0,,0,1,0
emo,emo,emok1238,,,,,,,,,1,0,0,,0,,0
emp,emp,nort2972,,,0,,,,5,2,1,0,0,,1,2,0
emq,emq,east2351,,,0,,,,3,0,1,0,0,,0,1,0
ems,ems,paci1278,,,0,,,,0,1,1,0,0,,1,1,0
emu,emu,east2340,,,0,,,,5,1,1,0,0,,0,2,0
emw,emw,empl1237,,,0,,,,0,0,1,0,0,,0,1,0
emx,emx,erro1240,,,0,,,,3,1,1,0,0,1.0791812460476249,0,1,0
emy,emy,epig1241,,,,,,,,,1,0,0,,0,,0
emz,emz,mbes1239,,,0,,,,5,0,1,0,0,,0,2,0
ena,ena,apal1256,,,0,,,,3,1,1,0,0,,0,1,0
enb,enb,mark1255,,,0,,,,5,2,1,0,0,,0,2,0
enc,enc,ennn1243,,,0,,,,3,1,1,0,0,,0,1,0
end,end,ende1246,,,0,,,,5,1,1,0,0,,0,2,0
enf,enf,fore1265,,,1,,,,3,1,1,0,0,,0,1,0
eng,eng,stan1293,10.821059,7.270846,0,10.821059,0.36544109500845545,3.555442,9,,1,1,1,6.302414055863433,1,3,1
enh,enh,tund1254,,,0,,,,3,1,1,0,0,,0,1,0
enl,enl,nort2971,,,0,,,,3,0,1,0,0,,0,2,0
enm,enm,midd1317,,,,,,,,,1,0,0,2.1903316981702914,0,,0
enn,enn,enge1239,,,0,,,,5,1,1,0,0,,1,2,0
eno,eno,engg1245,,,0,,,,3,1,1,0,0,,1,1,0
enq,enq,enga1252,,,0,,,,5,2,1,0,0,,1,2,0
enr,enr,emum1240,,,0,,,,3,0,1,0,0,,0,1,0
enu,enu,enuu1235,,,0,,,,5,0,1,0,0,,0,1,0
env,env,enwa1246,,,0,,,,0,0,1,0,0,,0,2,0
enw,enw,enwa1245,,,0,,,,5,0,1,0,0,,0,2,0
enx,enx,sout2989,,,0,,,,3,1,1,0,0,,1,2,0
eot,eot,beti1248,,,0,,,,3,1,1,0,0,,0,1,0
epi,epi,epie1238,,,0,,,,5,0,1,0,0,,0,2,0
epo,epo,espe1235,9.058918,5.786124,0,9.058918,0.5933472532219742,3.278161,5,3,1,0,0,5.9035913076615545,0,3,1
era,era,erav1242,,,0,,,,3,0,1,0,0,,0,1,0
erg,erg,siee1239,,,0,,,,3,1,1,0,0,,1,2,0
erh,erh,eruw1238,,,0,,,,3,0,1,0,0,,0,1,0
eri,eri,ogea1238,,,0,,,,3,1,1,0,0,,0,2,0
erk,erk,sout2856,,,0,,,,3,1,1,0,0,,1,2,0
ero,ero,horp1239,,,0,,,,5,1,1,0,0,,0,1,0
err,err,erre1238,,,0,,,,0,0,1,0,0,,0,0,0
ers,ers,ersu1241,,,0,,,,5,0,1,0,0,,0,1,0
ert,ert,erit1239,,,0,,,,3,0,1,0,0,,0,1,0
erw,erw,erok1237,,,0,,,,3,0,1,0,0,,0,1,0
ese,ese,esee1248,,,0,,,,3,2,1,0,0,,1,2,0
esg,esg,aher1237,,,1,,,,5,2,1,0,0,,0,2,0
esh,esh,esht1238,,,0,,,,0,0,1,0,0,,0,1,0
esi,esi,nort2943,,,0,,,,0,1,1,0,0,,1,1,0
esk,esk,nort2945,,,0,,,,0,2,1,0,0,,0,1,0
esl,esl,egyp1238,,,0,,,,5,0,1,0,0,,0,2,0
esm,esm,esum1241,,,0,,,,0,0,1,0,0,,0,0,0
esn,esn,salv1237,,,0,,,,5,1,1,0,0,,0,3,0
eso,eso,esto1238,,,0,,,,3,1,1,0,0,,0,2,0
esq,esq,esse1238,,,0,,,,0,0,1,0,0,,1,1,0
ess,ess,cent2128,,,0,,,,3,2,1,0,0,,1,1,0
est,est,,8.904124,5.636781,0,8.904124,0.5282292962466333,3.274698,,,0,1,1,3.7897921677306754,0,,1
esu,esu,cent2127,,,1,,,,5,2,1,0,0,,1,1,0
esy,esy,eska1234,,,0,,,,3,0,1,0,0,,0,1,0
etb,etb,eteb1238,,,0,,,,5,0,1,0,0,,0,2,0
etc,etc,,,,0,,,,0,0,0,0,0,,0,0,0
eth,eth,ethi1238,,,0,,,,5,1,1,0,0,,0,2,0
etn,etn,eton1255,,,0,,,,3,1,1,0,0,,0,2,0
eto,eto,eton1253,,,0,,,,5,1,1,0,0,,0,2,0
etr,etr,edol1239,,,0,,,,3,1,1,0,0,,1,2,0
ets,ets,yekh1238,,,0,,,,5,1,1,0,0,,1,2,0
ett,ett,etru1241,,,,,,,,,1,0,0,,0,,0
etu,etu,ejag1239,,,0,,,,5,2,1,0,0,,1,2,0
etx,etx,eten1239,,,0,,,,5,1,1,0,0,,0,2,0
etz,etz,semi1264,,,0,,,,3,0,1,0,0,,0,1,0
eud,eud,eude1234,,,0,,,,0,0,1,0,0,,0,0,0
eur,eur,euro1250,,,,,,,,,1,0,0,,0,,0
eus,eus,basq1248,9.121493,5.788285,0,9.121493,0.6710574519876581,3.340769,7,3,1,0,1,3.803934849863842,1,3,1
eve,eve,even1260,,,0,,,,3,2,1,0,0,,1,1,0
evh,evh,uvbi1238,,,0,,,,5,0,1,0,0,,0,2,0
evn,evn,even1259,,,1,,,,5,2,1,0,0,2.0644579892269186,1,1,0
ewe,ewe,ewee1241,6.308559,3.227887,0,6.308559,0.4378698224852071,3.121398,7,2,1,1,0,1.414973347970818,1,3,1
ewo,ewo,ewon1239,,,0,,,,5,2,1,1,0,,1,3,0
ext,ext,extr1243,7.000354,3.751125,0,7.000354,0.5260730755587087,3.264597,5,2,1,0,0,1.9242792860618816,0,1,1
eya,eya,eyak1241,,,0,,,,0,1,1,0,0,,1,1,0
eyo,eyo,keiy1238,,,0,,,,5,1,1,0,0,,0,2,0
eza,eza,,,,0,,,,5,1,0,0,0,,0,2,0
eze,eze,uzek1238,,,0,,,,3,0,1,0,0,,0,2,0
faa,faa,fasu1242,,,0,,,,3,1,1,0,0,,1,2,0
fab,fab,fada1250,,,0,,,,3,1,1,0,0,,0,2,0
fad,fad,wagi1249,,,0,,,,3,1,1,0,0,,0,1,0
faf,faf,faga1239,,,0,,,,3,1,1,0,0,,0,1,0
fag,fag,fino1238,,,0,,,,3,1,1,0,0,,0,2,0
fah,fah,bais1242,,,0,,,,0,0,1,0,0,,0,0,0
fai,fai,faiw1243,,,0,,,,3,1,1,0,0,,0,2,0
faj,faj,fait1240,,,0,,,,0,0,1,0,0,,0,1,0
fak,fak,fang1248,,,0,,,,3,1,1,0,0,,0,1,0
fal,fal,sout2782,,,0,,,,5,1,1,0,0,,0,2,0
fam,fam,famm1241,,,0,,,,3,0,1,0,0,,0,1,0
fan,fan,fang1246,,,0,,,,7,1,1,1,0,,0,3,0
fao,fao,faro1244,7.456433,4.292721,0,7.456433,0.5239794098160134,3.179344,5,3,1,1,0,2.6384892569546374,1,3,1
fap,fap,palo1243,,,0,,,,5,1,1,0,0,,1,2,0
far,far,fata1245,,,0,,,,5,1,1,0,0,,0,2,0
fas,fas,,9.48371,6.479182,0,9.48371,0.3388059721298836,3.014213,,,0,0,1,,0,,1
fau,fau,fayu1238,,,0,,,,3,0,1,0,0,,0,2,0
fax,fax,fala1241,,,0,,,,3,1,1,0,0,,0,2,0
fay,fay,sout2645,,,0,,,,5,0,1,0,0,,0,1,0
faz,faz,nort2640,,,0,,,,,,1,0,0,,0,,0
fbl,fbl,,,,0,,,,5,1,0,0,0,,0,2,0
fcs,fcs,queb1245,,,0,,,,3,1,1,0,0,,1,2,0
fer,fer,fero1244,,,0,,,,5,0,1,0,0,,0,1,0
ffi,ffi,foia1236,,,0,,,,3,1,1,0,0,,0,2,0
ffm,ffm,maas1239,,,0,,,,7,2,1,0,0,,1,3,0
fgr,fgr,,,,0,,,,0,1,0,0,0,,0,1,0
fia,fia,nobi1240,,,0,,,,5,2,1,0,0,,1,1,0
fie,fie,fyer1241,,,0,,,,5,0,1,0,0,,0,2,0
fif,fif,faif1234,,,0,,,,5,0,1,0,0,,0,2,0
fij,fij,fiji1243,6.082119,3.298416,0,6.082119,0.4029175050301811,2.845042,5,2,1,1,0,1.6334684555795864,1,3,1
fil,fil,fili1244,,,0,,,,0,3,1,0,1,,0,3,0
fin,fin,finn1318,9.455122,5.967176,0,9.455122,0.6321212676808257,3.490243,7,,1,1,1,5.183656976328248,1,3,1
fip,fip,fipa1238,,,0,,,,5,1,1,0,0,,0,2,0
fir,fir,fira1238,,,0,,,,3,0,1,0,0,,0,2,0
